Overdrive Name,Overdrive Link,Country,Region,Collection Size,Ebooks,Audiobooks,Magazines
Los Angeles Public Library,https://lapl.overdrive.com,United States,California,575316,451343,119303,4665
Sno-Isle Libraries,https://sno-isle.overdrive.com,United States,Washington,422382,288092,129599,4690
National Library Board Singapore,https://nlb.overdrive.com,Singapore,Singapore,358746,301241,55436,2069
Livebrary.com,https://livebrary.overdrive.com,United States,New York,335046,247420,87625,0
King County Library System,https://kcls.overdrive.com,United States,Washington,311759,229313,77725,4720
CLEVNET,https://clevnet.overdrive.com,United States,Ohio,302969,223491,74816,4662
MELSA: Twin Cities Metro eLibrary,https://melsa.overdrive.com,United States,Minnesota,299768,234180,61610,3978
Auckland Libraries,https://auckland.overdrive.com,New Zealand,Auckland,298525,229717,66350,2458
Toronto Public Library,https://toronto.overdrive.com,Canada,Ontario,285571,228193,53802,3574
Metropolitan Library System,https://metrolibrary.overdrive.com,United States,Oklahoma,284981,201431,78885,4664
Pikes Peak Library District,https://ppld.overdrive.com,United States,Colorado,284345,197959,81643,4742
New York Public Library,https://nypl.overdrive.com,United States,New York,273259,205045,68214,0
Brooklyn Public Library,https://brooklyn.overdrive.com,United States,New York,272920,199937,72983,0
Old Colony Library Network,https://ocln.overdrive.com,United States,Massachusetts,267146,219795,42685,4666
Indianapolis Public Library,https://indypl.overdrive.com,United States,Indiana,264294,187982,71589,4722
The Ohio Digital Library,https://ohdbks.overdrive.com,United States,Ohio,263849,202616,56485,4748
Indiana Digital Library,https://idl.overdrive.com,United States,Indiana,251954,194401,52852,4701
Las Vegas-Clark County Library District,https://lasvegas.overdrive.com,United States,Nevada,251531,170545,76226,4755
Multnomah County Library,https://multcolib.overdrive.com,United States,Oregon,244552,173890,66220,4441
Cincinnati & Hamilton County Public Library,https://cincinnatilibrary.overdrive.com,United States,Ohio,243326,177178,61432,4714
Sacramento Public Library,https://saclibrary.overdrive.com,United States,California,240262,179915,55581,4760
Harris County Public Library,https://hcpl.overdrive.com,United States,Texas,234018,166506,62759,4752
Hillsborough County Public Library Cooperative,https://hcplc.overdrive.com,United States,Florida,225230,178964,41532,4732
Seattle Public Library,https://spl.overdrive.com,United States,Washington,222283,160530,61752,0
Nashville Public Library,https://nashville.overdrive.com,United States,Tennessee,217732,158996,54013,4721
Austin Public Library,https://austinlibrary.overdrive.com,United States,Texas,214992,143190,67091,4704
Digital Downloads Collaboration,https://clc.overdrive.com,United States,Ohio,198337,149547,44064,4726
San Francisco Public Library,https://sfpl.overdrive.com,United States,California,192139,153124,39014,0
SAILS Library Network,https://sails.overdrive.com,United States,Massachusetts,186992,151781,30525,4686
Arapahoe Library District,https://arapahoe.overdrive.com,United States,Colorado,182928,132193,46018,4716
Pierce County Library System,https://piercecounty.overdrive.com,United States,Washington,182286,128002,49569,4713
Mid-Continent Public Library,https://mcpl.overdrive.com,United States,Missouri,178105,121586,52142,4375
Ocean State Libraries eZone,https://riezone.overdrive.com,United States,Rhode Island,176824,132987,43837,0
Orange County Library System,https://ocls.overdrive.com,United States,Florida,173484,132915,35817,4746
Cuyahoga County Public Library,https://ccpl.overdrive.com,United States,Ohio,170936,123819,47116,0
Greater Phoenix Digital Library,https://phoenix.overdrive.com,United States,Arizona,170099,122121,43255,4722
Calgary Public Library,https://calgary.overdrive.com,Canada,Alberta,168100,131763,32838,3496
Boston Public Library,https://bpl.overdrive.com,United States,Massachusetts,165034,118341,41935,4755
LA County Library,https://lacountylibrary.overdrive.com,United States,California,163267,119180,39325,4760
Washington County Cooperative Library Services,https://wccls.overdrive.com,United States,Oregon,159403,115667,43735,0
Dayton Metro Library,https://dayton.overdrive.com,United States,Ohio,152270,100428,47134,4706
East Baton Rouge Parish Library,https://ebr.overdrive.com,United States,Louisiana,152085,106656,44270,1152
Mid-Columbia Libraries,https://midcolumbialibraries.overdrive.com,United States,Washington,151690,104783,42157,4749
Alachua County Library District,https://aclib.overdrive.com,United States,Florida,151303,95186,51371,4746
San Diego County Library,https://sdcl.overdrive.com,United States,California,147779,103351,39743,4685
New Orleans Public Library,https://neworleans.overdrive.com,United States,Louisiana,145956,44266,101685,0
Lee County Library System,https://lcls.overdrive.com,United States,Florida,144741,107287,32695,4752
Spokane County Library District,https://scld.overdrive.com,United States,Washington,141414,96410,45003,0
Louisville Free Public Library,https://lfpl.overdrive.com,United States,Kentucky,141296,109741,26793,4762
Tennessee READS,https://reads.overdrive.com,United States,Tennessee,140363,98048,38118,4197
Carnegie Library of Pittsburgh,https://acla.overdrive.com,United States,Pennsylvania,139691,105894,29091,4706
Minuteman Library Network,https://minuteman.overdrive.com,United States,Massachusetts,138793,109320,24718,4755
Edmonton Public Library,https://epl.overdrive.com,Canada,Alberta,134336,93652,35954,4729
Timberland Regional Library,https://timberland.overdrive.com,United States,Washington,134112,88668,40767,4675
Toledo Lucas County Public Library,https://toledo.overdrive.com,United States,Ohio,132726,89601,38424,4700
Pueblo City-County Library District,https://pueblolibrary.overdrive.com,United States,Colorado,130999,77866,53132,0
Queens Public Library,https://queenslibrary.overdrive.com,United States,New York,127273,109232,13359,4678
Dallas Public Library,https://dallaslibrary.overdrive.com,United States,Texas,123988,95918,23333,4731
Salt Lake County Library Services,https://slco.overdrive.com,United States,Utah,123775,79265,44508,0
Wisconsin Public Library Consortium,https://wplc.overdrive.com,United States,Wisconsin,123433,85784,32944,4705
Kentucky Libraries Unbound,https://kyunbound.overdrive.com,United States,Kentucky,123415,92392,26267,4756
Markham Public Library,https://markham.overdrive.com,Canada,Ontario,121595,95780,21419,4394
St. Louis County Library,https://slcl.overdrive.com,United States,Missouri,121538,96529,20329,4679
Beehive Library Consortium,https://beehive.overdrive.com,United States,Utah,120492,66277,49493,4722
Evansville Vanderburgh Public Library,https://evpl.overdrive.com,United States,Indiana,119250,91779,22800,4669
Saskatchewan Library Consortium,https://saskatchewan.overdrive.com,Canada,Saskatchewan,118061,87806,25550,4705
Santa Clara County Library,https://santaclara.overdrive.com,United States,California,117883,75733,37389,4759
Surrey Libraries,https://surreyca.overdrive.com,Canada,British Columbia,117719,85832,27189,4697
